"","Variable","Estimate","Std. Error","Pr(>|z|)","Species"
"21","(Intercept)",2.178,0.833,0.013,"albi"
"25","ForestLossProp",-0.03,0.363,0.937,"albi"
"23","CanopyHeight",0.193,0.481,0.699,"albi"
"24","Ruggedness",0.071,0.437,0.877,"albi"
"22","Elevation",0.7,0.786,0.384,"albi"
"16","(Intercept)",5.511,0.54,0,"allo"
"17","ForestLossProp",0.912,0.701,0.203,"allo"
"20","CanopyHeight",0.047,0.298,0.881,"allo"
"19","Ruggedness",-0.13,0.385,0.744,"allo"
"18","Elevation",-0.219,0.435,0.624,"allo"
"11","(Intercept)",5.379,0.779,0,"avahi"
"14","ForestLossProp",0.332,0.673,0.634,"avahi"
"12","CanopyHeight",0.427,0.721,0.565,"avahi"
"15","Ruggedness",-0.342,0.683,0.628,"avahi"
"13","Elevation",-0.287,0.625,0.658,"avahi"
"26","(Intercept)",12.461,0.882,0,"cheiro"
"29","ForestLossProp",0.331,0.696,0.648,"cheiro"
"28","CanopyHeight",-0.324,0.68,0.647,"cheiro"
"27","Ruggedness",-0.472,0.79,0.564,"cheiro"
"30","Elevation",-0.019,0.513,0.972,"cheiro"
"31","(Intercept)",0.24,0.177,0.196,"hapa"
"32","ForestLossProp",0.374,0.164,0.026,"hapa"
"33","CanopyHeight",0.045,0.103,0.665,"hapa"
"35","Ruggedness",-0.005,0.048,0.923,"hapa"
"34","Elevation",0.01,0.052,0.856,"hapa"
"36","(Intercept)",5.167,1.095,0,"lepi"
"40","ForestLossProp",0.063,0.246,0.806,"lepi"
"38","CanopyHeight",0.371,0.509,0.474,"lepi"
"37","Ruggedness",-0.394,0.576,0.504,"lepi"
"39","Elevation",-0.167,0.383,0.672,"lepi"
"41","(Intercept)",7.009,1.039,0,"micro"
"43","ForestLossProp",-0.416,0.714,0.572,"micro"
"42","CanopyHeight",-0.582,0.845,0.501,"micro"
"44","Ruggedness",-0.147,0.583,0.811,"micro"
"45","Elevation",0.149,0.536,0.792,"micro"
"6","(Intercept)",0.953,0.48,0.059,"prop"
"9","ForestLossProp",0.133,0.337,0.701,"prop"
"7","CanopyHeight",0.513,0.573,0.378,"prop"
"10","Ruggedness",0.024,0.233,0.922,"prop"
"8","Elevation",-0.18,0.382,0.645,"prop"
"1","(Intercept)",1.625,0.635,0.015,"rubri"
"2","ForestLossProp",0.776,0.716,0.29,"rubri"
"3","CanopyHeight",0.073,0.395,0.86,"rubri"
"5","Ruggedness",0.083,0.363,0.826,"rubri"
"4","Elevation",0.062,0.339,0.861,"rubri"
