"","Variable","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","Species"
"21","(Intercept)",2.17797304723865,0.833452109011563,0.876910052185214,2.4836903646061,0.0130029,"albi"
"25","ForestLossProp",-0.0299161463451705,0.362542108722435,0.380936115140204,0.0785332373491547,0.9374039,"albi"
"23","CanopyHeight",0.192571134585778,0.4807713260054,0.498161439039563,0.386563711067335,0.6990792,"albi"
"24","Ruggedness",0.0708099949358076,0.437232079091813,0.458771918538146,0.154346837882842,0.8773363,"albi"
"22","Elevation",0.69967998360366,0.785910366447183,0.804306780377574,0.869916803729047,0.3843459,"albi"
"16","(Intercept)",5.5107220102309,0.540372032967255,0.568554567768453,9.69251206943987,0,"allo"
"17","ForestLossProp",0.912087287432574,0.700523601324517,0.716876829965029,1.27230683055703,0.2032641,"allo"
"20","CanopyHeight",0.0466974602884279,0.297912420300369,0.311535987338539,0.149894272849072,0.880848,"allo"
"19","Ruggedness",-0.130182866609253,0.384933807358369,0.398866941785419,0.326381690160948,0.7441356,"allo"
"18","Elevation",-0.219419736892869,0.43514659427244,0.447969811810547,0.489809203897124,0.6242689,"allo"
"11","(Intercept)",5.37896641183059,0.778790381698547,0.819635136605455,6.56263521608865,0,"avahi"
"14","ForestLossProp",0.331611895047357,0.672856551893376,0.695812239663076,0.476582440124838,0.6336595,"avahi"
"12","CanopyHeight",0.427492364442639,0.720999855052804,0.743632247359202,0.574870664849133,0.5653788,"avahi"
"15","Ruggedness",-0.341736828713319,0.682782735705938,0.705821939476553,0.484168611940224,0.6282662,"avahi"
"13","Elevation",-0.286803212677999,0.624595923199926,0.647152168601112,0.443177395662529,0.6576374,"avahi"
"26","(Intercept)",12.4605442675623,0.881919214936955,0.934630829207271,13.3320492735416,0,"cheiro"
"29","ForestLossProp",0.331114839010746,0.696401171558184,0.724975774141562,0.456725384241724,0.6478684,"cheiro"
"28","CanopyHeight",-0.324127908579697,0.679643588186302,0.707061298581512,0.458415570516946,0.6466539,"cheiro"
"27","Ruggedness",-0.471833346374315,0.790116735385655,0.817610323998951,0.577088293193959,0.5638798,"cheiro"
"30","Elevation",-0.0192673969194204,0.513087447117222,0.543300309089611,0.0354636222307807,0.9717101,"cheiro"
"31","(Intercept)",0.240170162351635,0.176608019414832,0.185665219271919,1.29356571625776,0.1958155,"hapa"
"32","ForestLossProp",0.37395271552222,0.163772283903933,0.167901081442701,2.22722041042861,0.0259325,"hapa"
"33","CanopyHeight",0.0452098343130138,0.102587782216438,0.104264703800464,0.433606318007039,0.6645743,"hapa"
"35","Ruggedness",-0.0047866520594799,0.0475821909632022,0.0497729180079454,0.0961698098294295,0.9233857,"hapa"
"34","Elevation",0.0097235496667171,0.0519250111749586,0.0537158242658885,0.181018346075942,0.8563532,"hapa"
"36","(Intercept)",5.16661900090005,1.09496458669492,1.15180298169471,4.48567948078944,7.3e-06,"lepi"
"40","ForestLossProp",0.0628260208196648,0.246427470708612,0.256106737116057,0.245311863042458,0.806215,"lepi"
"38","CanopyHeight",0.371352281597784,0.508832193346753,0.51844344793156,0.716283102967879,0.4738166,"lepi"
"37","Ruggedness",-0.394435042242174,0.575942090793413,0.590137642856361,0.668378041998889,0.5038923,"lepi"
"39","Elevation",-0.167080615908018,0.382873109877361,0.39462378015011,0.423392163149576,0.6720092,"lepi"
"41","(Intercept)",7.00858304454186,1.03943004927159,1.10106247703443,6.36529097187888,0,"micro"
"43","ForestLossProp",-0.416282380574378,0.713657297263283,0.736450832571266,0.565254816972584,0.5719005,"micro"
"42","CanopyHeight",-0.581688466894236,0.844916900694983,0.864925787533533,0.672529915604677,0.5012464,"micro"
"44","Ruggedness",-0.146920436103178,0.583008137728536,0.614469276489524,0.23910135416784,0.811027,"micro"
"45","Elevation",0.148592464239038,0.535915243119493,0.563767612800892,0.263570416010253,0.792111,"micro"
"6","(Intercept)",0.953024131497901,0.479753677078874,0.504326284602861,1.88969752438815,0.0587984,"prop"
"9","ForestLossProp",0.132620506157719,0.336726653622443,0.345169010533321,0.384219040848445,0.7008161,"prop"
"7","CanopyHeight",0.513077540686245,0.57302153126253,0.582462020283224,0.880877246617314,0.3783843,"prop"
"10","Ruggedness",0.0240549268582587,0.233121121935935,0.244903680139701,0.0982219901495031,0.921756,"prop"
"8","Elevation",-0.180102645172566,0.382033356501914,0.391435707270143,0.460107858908925,0.6454388,"prop"
"1","(Intercept)",1.62511429683028,0.635089986296499,0.667969762677147,2.43291596062224,0.0149778,"rubri"
"2","ForestLossProp",0.775776470836391,0.71641581621505,0.732859875676323,1.05856043779237,0.2898,"rubri"
"3","CanopyHeight",0.0725714059491831,0.394723487881342,0.410218870167465,0.176908989875471,0.8595799,"rubri"
"5","Ruggedness",0.0832235741533212,0.363334285515647,0.379599307828389,0.219240584577002,0.8264626,"rubri"
"4","Elevation",0.0620800220011463,0.339127549123281,0.354856004038127,0.174944262728259,0.8611234,"rubri"
